 count |    mac_prefix     
     1 | d8:cf:9c:00:00:00
     1 | 42:65:88:00:00:00
     1 | 6a:c4:1b:00:00:00
     1 | da:7a:d2:00:00:00
     1 | d0:c1:b1:00:00:00
     1 | fa:64:15:00:00:00
     1 | b6:96:3c:00:00:00
     1 | d4:20:6d:00:00:00
     1 | 60:d9:c7:00:00:00
     1 | c0:63:94:00:00:00
     1 | a8:26:d9:00:00:00
     1 | d6:7d:eb:00:00:00
     1 | a4:ee:57:00:00:00
     1 | a0:0b:ba:00:00:00
     1 | 02:3c:f5:00:00:00
     1 | 9a:28:ca:00:00:00
     1 | fc:25:3f:00:00:00
     1 | e4:ce:8f:00:00:00
     1 | 76:84:85:00:00:00
     1 | 3a:86:d7:00:00:00
     1 | 10:fe:ed:00:00:00
     1 | 64:6c:b2:00:00:00
     1 | 9e:7f:88:00:00:00
     1 | 16:8f:85:00:00:00
     1 | d6:e6:fa:00:00:00
     1 | 00:15:af:00:00:00
     1 | 04:1b:ba:00:00:00
     1 | 62:e2:ab:00:00:00
     1 | 26:ea:f6:00:00:00
     1 | 5e:42:1e:00:00:00
     1 | 4c:bc:a5:00:00:00
     1 | a8:bb:cf:00:00:00
     1 | e2:19:e3:00:00:00
     1 | 86:9c:d8:00:00:00
     1 | b8:4f:d5:00:00:00
     1 | 58:a2:b5:00:00:00
     1 | dc:2b:61:00:00:00
     1 | 56:0f:3d:00:00:00
     1 | 0a:51:15:00:00:00
     1 | b0:c4:e7:00:00:00
     1 | 34:bb:26:00:00:00
     1 | 6e:22:28:00:00:00
     1 | d8:50:e6:00:00:00
     1 | 3c:a1:0d:00:00:00
     1 | 6c:3e:6d:00:00:00
     1 | 90:27:e4:00:00:00
     1 | a0:75:91:00:00:00
     1 | 40:b3:95:00:00:00
     1 | 50:55:27:00:00:00
     1 | 18:9e:fc:00:00:00
     1 | 5e:b0:98:00:00:00
     1 | 8e:d9:1b:00:00:00
     1 | 3e:02:9a:00:00:00
     1 | fc:92:3b:00:00:00
     1 | bc:ee:7b:00:00:00
     1 | 92:f4:17:00:00:00
     1 | 20:2b:c1:00:00:00
     1 | 28:cf:e9:00:00:00
     1 | 6c:40:08:00:00:00
     1 | 70:11:24:00:00:00
     1 | ac:36:13:00:00:00
     1 | c2:27:ad:00:00:00
     1 | de:b4:c1:00:00:00
     1 | 04:db:56:00:00:00
     1 | 9c:6c:15:00:00:00
     1 | 02:27:15:00:00:00
     1 | 00:73:e0:00:00:00
     1 | 00:24:03:00:00:00
     1 | ce:82:8d:00:00:00
     1 | 90:b9:31:00:00:00
     1 | 14:b9:68:00:00:00
     1 | 9a:32:fe:00:00:00
     1 | 7a:c3:49:00:00:00
     1 | 98:3b:16:00:00:00
     1 | 52:32:3d:00:00:00
     1 | 3e:19:30:00:00:00
     1 | d8:b3:77:00:00:00
     1 | 30:76:6f:00:00:00
     1 | 04:fe:31:00:00:00
     1 | fa:75:56:00:00:00
     1 | 70:f9:27:00:00:00
     1 | e6:3c:1a:00:00:00
(489 rows)

